Número,Título,Temas Relacionados,Textos Relacionados,Link do Vídeo,Texto Base,Categoria,Subcategoria,Autor da Letra,Autor da Música
11,Maior que Tudo,Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22,https://www.youtube.com/watch?v=7UlUMa8dlBg,Salmo 48:1,A Doutrina de Deus,A Trindade,"Paul Baloche, Lenny LeBlanc","Paul Baloche, Lenny LeBlanc"
12,"Vinde, Povo do Senhor","Adoração e Louvor | Espírito Santo | Graça e Salvação | Igreja e Comunhão | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=2WLfNPD0uhw,Salmo 95:1-6,A Doutrina de Deus,A Trindade,Henry Alford,George J. Elvey
13,"Louvamos-Te, ó Deus",Adoração e Louvor | Espírito Santo | Graça e Salvação | Sacrifício e Redenção | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=xAzZsKdefi0,"Salmo 113:1, 2",A Doutrina de Deus,A Trindade,William Paton Mackay,John Jenkins Husband
14,Louvemos o Rei,"Adoração e Louvor | Crianças e Jovens | Espírito Santo | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=KARmqJz3Ktg,"Salmo 146:1, 2",A Doutrina de Deus,A Trindade,Robert Grant,SACRED MELODIES – II
15,"Tu És Fiel, Senhor","Crianças e Jovens | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=lVBzxAcXTVk,"Lamentações 3:22, 23",A Doutrina de Deus,O Pai,Thomas Obadiah Chisholm,William Marion Runyan
16,Sublime Amor,"Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=724USSpz4ls,João 15:13,A Doutrina de Deus,O Pai,Frederick M. Lehman,Frederick M. Lehman
17,Deus é Nosso Pai Amado,Adoração e Louvor | Lar e Família | Oração e Comunhão | Sacrifício e Redenção | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=1fkhW76iKSs,Mateus 6:26-30,A Doutrina de Deus,O Pai,Helen Griggs,Helen Griggs
18,Deus é Nosso Pai Celeste,Adoração e Louvor | Crianças e Jovens | Lar e Família,Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=5Zm_BUpeWHI,Salmo 103:13,A Doutrina de Deus,O Pai,Karolina Wilhelmina Sandell-Berg,Melodia Tradicional Sueca
19,A Deus demos Glória,Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=MnBH-e_BpZQ,"Salmo 107:21, 22",A Doutrina de Deus,O Pai,Fanny J. Crosby,William H. Doane
20,Grande é o Senhor,Adoração e Louvor | Graça e Salvação,Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=4C23Lx1lwso,Salmo 48:1,A Doutrina de Deus,O Pai,"Michael W. Smith, Deborah D. Smith","Michael W. Smith, Deborah D. Smith"
21,"Eu Te Amo, ó Deus",Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=BjHv6tOnhn0,"Salmo 116:1, 2",A Doutrina de Deus,O Pai,Laurie Klein,Laurie Klein
22,A Ti Toda Glória,Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Igreja e Comunhão | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 19:14; Provérbios 22:6 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=BwISjJU028U,I Pedro 1:3-5,A Doutrina de Deus,O Pai,Desconhecido,Melodia Tradicional Holandesa
23,Louvai a Cristo,"Crianças e Jovens | Graça e Salvação | Missão e Serviço | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 19:14; Provérbios 22:6 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=0LeRHv_eCgk,Apocalipse 5:11-14,A Doutrina de Deus,O Filho,Fanny J. Crosby,Chester G. Allen
24,Louvai a Cristo,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6,https://www.youtube.com/watch?v=AlTWVhSsndI,Apocalipse 17:14,A Doutrina de Deus,O Filho,Jack Williams Hayford,Jack Williams Hayford
25,"Jesus, Sempre Te Amo",Adoração e Louvor | Graça e Salvação,Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=T5jU2aXD0cI,João 14:21,A Doutrina de Deus,O Filho,William Ralph Featherstone,Adoniram Judson Gordon
26,Saudai o Nome de Jesus,"Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=qQuZ30_VVbU,Apocalipse 5:11-13,A Doutrina de Deus,O Filho,Edward Perronet,James Ellor
27,Com Glória Coroai,"Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=xlkwuGo10Os,Apocalipse 5:11-13,A Doutrina de Deus,O Filho,Edward Perronet,James Ellor
28,"Lindo És, Meu Mestre",Adoração e Louvor,Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=DRYgNLQNjmU,Salmo 45:2,A Doutrina de Deus,O Filho,Münster Gesangbuch,Melodia Tradicional Silesiana
29,O Amor de Jesus,"Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=rDqhjaMUu8I,João 15:9,A Doutrina de Deus,O Filho,William Elmo Mercer,William Elmo Mercer
30,Sempre Vencendo,"Lar e Família | Paz, Cuidado e Confiança",Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=SvLmewB4-tc,Apocalipse 6:2,A Doutrina de Deus,O Filho,Fanny J. Crosby,John R. Sweney
31,"Jesus, Tu És a Minha Vida",Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=LL5Pak4zcuA,João 14:6,A Doutrina de Deus,O Filho,Williams Costa Jr.,Williams Costa Jr.
32,"Brilha, Jesus","Adoração e Louvor | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=pnjg15RB6f8,João 8:12,A Doutrina de Deus,O Filho,Graham Kendrick,Graham Kendrick
33,A Esperança é Jesus,"Graça e Salvação | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=8hKR6ohrexE,1 Timóteo 1:1,A Doutrina de Deus,O Filho,Ariney Balthazar de Oliveira,Ariney Balthazar de Oliveira
34,Precioso Nome,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=i_1znegpxLI,Filipenses 2:9-11,A Doutrina de Deus,O Filho,Evaldo Vicente,Evaldo Vicente
35,Ele é Exaltado,Adoração e Louvor,Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=KAu7WO38klQ,Salmo 24:10,A Doutrina de Deus,O Filho,Twila Paris,Twila Paris
36,Por Seu Imenso Amor,Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=h2zY2yqEhH8,2 João 1:3,A Doutrina de Deus,O Filho,Rafael Lindemute,Rafael Lindemute
37,Cristo,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=PRVP3fMMOJ8,Mateus 11:28-30,A Doutrina de Deus,O Filho,Jader D. Santos,Jader D. Santos
38,A Ti Rendemos Glórias,"Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=Sju2hLQ6hKU,Salmo 106:48,A Doutrina de Deus,O Filho,Teodulfo de Orleães,Melchior Teschner
39,Glórias ao Rei de Amor,"Adoração e Louvor | Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=aARgwr11kt4,"Judas 24, 25",A Doutrina de Deus,O Filho,Matthew Bridges,George J. Elvey
40,Concede-nos o Espírito,Adoração e Louvor | Crianças e Jovens | Espírito Santo | Graça e Salvação | Lar e Família | Oração e Comunhão | Santuário e Juízo,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Hebreus 4:14-16; Hebreus 8:1-2; Daniel 8:14 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=AEIOZHynZ10,"João 16:7, 8",A Doutrina de Deus,O Espírito Santo,Dario Pires de Araújo,John Darwall
41,Chuvas de Bênçãos,"Espírito Santo | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=BaJF1Tg3CJM,Ezequiel 34:26,A Doutrina de Deus,O Espírito Santo,Daniel W. Whittle,James McGranahan
42,Vive em Mim,Adoração e Louvor | Espírito Santo | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=GHr5fUzMD-8,João 3:5-8,A Doutrina de Deus,O Espírito Santo,Edwin Hatch,Baylus Benjamin McKinney
43,"Vem, Santo Espírito, Agora",Adoração e Louvor | Espírito Santo | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=q7ckGf7nsU4,Isaías 44:3,A Doutrina de Deus,O Espírito Santo,"Gloria Gaither, William J. Gaither",William J. Gaither
44,O Santo Espírito,"Adoração e Louvor | Espírito Santo | Graça e Salvação | Igreja e Comunhão | Missão e Serviço | Oração e Comunhão | Palavra de Deus e Lei | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=niiUqUc9j1s,Atos 1:8,A Doutrina de Deus,O Espírito Santo,John W. Peterson,John W. Peterson
45,Suave Espírito,Adoração e Louvor | Espírito Santo | Graça e Salvação | Missão e Serviço | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=zoxr6xrtoa8,Gálatas 4:6,A Doutrina de Deus,O Espírito Santo,Doris Akers,Doris Akers
46,Dia de Chuva,Espírito Santo | Graça e Salvação | Lar e Família | Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4,https://www.youtube.com/watch?v=Vwpc1inHrwA,Joel 2:28,A Doutrina de Deus,O Espírito Santo,Ariney Balthazar de Oliveira,Ariney Balthazar de Oliveira
47,Cheios do Espírito,"Adoração e Louvor | Espírito Santo | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=5pCbe4IUoSQ,Efésios 5:18,A Doutrina de Deus,O Espírito Santo,Valdecir Simões Lima,Lineu Formighieri Soares
48,O Poder do Espírito,Adoração e Louvor | Espírito Santo | Graça e Salvação | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=dq4XfQZJrbg,Atos 1:8,A Doutrina de Deus,O Espírito Santo,Valdecir Simões Lima,Wanderson F. Paiva
49,Que Firme Alicerce!,Adoração e Louvor | Crianças e Jovens | Palavra de Deus e Lei | Sacrifício e Redenção,Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 19:14; Provérbios 22:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=YiYxrq_0LuI,2 Pedro 1:19,A Doutrina de Deus,As Escrituras Sagradas,SELECTION OF HYMNS,CANTUS DIVERSI
50,Alicerce Seguro,"Crianças e Jovens | Graça e Salvação | Palavra de Deus e Lei | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 19:14; Provérbios 22:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=s8iTxsqiiqM,2 Pedro 1:19,A Doutrina de Deus,As Escrituras Sagradas,RIPPON´S SELECTION OF HYMNS,GENUINE CHURCH MUSIC
51,Dá-me a Bíblia,"Palavra de Deus e Lei | Paz, Cuidado e Confiança | Sacrifício e Redenção",Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=k-O7d-lvwtE,"2 Timóteo 3:16, 17",A Doutrina de Deus,As Escrituras Sagradas,Priscilla J. Owens,Edmund S. Lorenz
52,Novas de Amor e Vida,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=ZKGM3HzpOZo,"Lucas 2:10, 11",A Doutrina de Deus,As Escrituras Sagradas,Philip P. Bliss,Philip P. Bliss
53,Que Diz a Bíblia?,Palavra de Deus e Lei | Segunda Vinda e Esperança | Sábado e Criação,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=hNdx9bWb_0s,Atos 17:11,A Doutrina de Deus,As Escrituras Sagradas,Franklin E. Belden,Franklin E. Belden
54,Unidos Pela Palavra,Espírito Santo | Igreja e Comunhão | Palavra de Deus e Lei | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | João 14:16-17; Atos 2:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 133:1; Hebreus 10:25,https://www.youtube.com/watch?v=2rH9XgY6SGQ,Atos 2:42,A Doutrina de Deus,As Escrituras Sagradas,Marcelo Santos Meireles,Marcelo Santos Meireles
55,Tua Palavra,"Oração e Comunhão | Palavra de Deus e Lei | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=L81Mjny13d4,Salmo 119:11,A Doutrina de Deus,As Escrituras Sagradas,Jader D. Santos,Jader D. Santos
